Source,Target,Type,Id,Label,Weight
0,3,Undirected,10000,,1
0,4,Undirected,10001,,1
1,24,Undirected,10002,,1
1,36,Undirected,10003,,1
1,51,Undirected,10004,,1
2,55,Undirected,10006,,1
2,60,Undirected,10007,,1
4,3,Undirected,10009,,1
4,6,Undirected,10010,,1
7,3,Undirected,10014,,1
7,4,Undirected,10015,,1
7,6,Undirected,10016,,1
7,15,Undirected,10018,,1
7,33,Undirected,10020,,1
7,57,Undirected,10021,,1
8,3,Undirected,10022,,1
8,4,Undirected,10023,,1
8,5,Undirected,10024,,1
9,19,Undirected,10026,,1
10,9,Undirected,10027,,1
11,7,Undirected,10028,,1
11,29,Undirected,10030,,1
11,47,Undirected,10031,,1
12,1,Undirected,10032,,1
12,11,Undirected,10033,,1
13,25,Undirected,10034,,1
13,32,Undirected,10035,,1
14,15,Undirected,10036,,1
15,47,Undirected,10040,,1
16,14,Undirected,10041,,1
16,15,Undirected,10042,,1
17,15,Undirected,10043,,1
17,44,Undirected,10046,,1
19,17,Undirected,10047,,1
19,40,Undirected,10048,,1
19,44,Undirected,10049,,1
20,2,Undirected,10050,,1
21,48,Undirected,10052,,1
22,36,Undirected,10056,,1
22,51,Undirected,10057,,1
23,22,Undirected,10058,,1
23,51,Undirected,10060,,1
26,25,Undirected,10061,,1
26,42,Undirected,10062,,1
26,54,Undirected,10063,,1
27,6,Undirected,10064,,1
28,7,Undirected,10067,,1
29,32,Undirected,10068,,1
29,56,Undirected,10071,,1
29,66,Undirected,10072,,1
30,14,Undirected,10073,,1
30,15,Undirected,10074,,1
30,16,Undirected,10075,,1
30,45,Undirected,10076,,1
31,7,Undirected,10077,,1
31,11,Undirected,10078,,1
32,31,Undirected,10080,,1
33,27,Undirected,10082,,1
35,17,Undirected,10084,,1
35,19,Undirected,10085,,1
35,40,Undirected,10086,,1
36,23,Undirected,10087,,1
36,29,Undirected,10088,,1
36,42,Undirected,10089,,1
36,51,Undirected,10091,,1
36,66,Undirected,10092,,1
38,27,Undirected,10094,,1
38,46,Undirected,10095,,1
38,50,Undirected,10096,,1
39,6,Undirected,10098,,1
40,17,Undirected,10100,,1
40,20,Undirected,10101,,1
40,51,Undirected,10103,,1
40,55,Undirected,10104,,1
41,7,Undirected,10105,,1
41,33,Undirected,10106,,1
42,40,Undirected,10107,,1
42,54,Undirected,10108,,1
43,13,Undirected,10109,,1
43,37,Undirected,10110,,1
43,47,Undirected,10111,,1
44,20,Undirected,10112,,1
44,36,Undirected,10113,,1
44,40,Undirected,10114,,1
44,50,Undirected,10115,,1
45,14,Undirected,10116,,1
45,15,Undirected,10117,,1
45,16,Undirected,10118,,1
46,27,Undirected,10119,,1
47,29,Undirected,10121,,1
47,36,Undirected,10122,,1
48,8,Undirected,10123,,1
49,20,Undirected,10127,,1
49,28,Undirected,10128,,1
49,66,Undirected,10129,,1
50,46,Undirected,10130,,1
51,20,Undirected,10131,,1
51,29,Undirected,10132,,1
52,18,Undirected,10134,,1
52,45,Undirected,10135,,1
52,46,Undirected,10136,,1
53,27,Undirected,10137,,1
53,38,Undirected,10138,,1
53,46,Undirected,10139,,1
53,50,Undirected,10140,,1
53,54,Undirected,10141,,1
54,48,Undirected,10142,,1
54,51,Undirected,10143,,1
54,63,Undirected,10145,,1
55,21,Undirected,10146,,1
55,48,Undirected,10147,,1
55,54,Undirected,10148,,1
56,39,Undirected,10150,,1
57,29,Undirected,10151,,1
57,33,Undirected,10152,,1
57,41,Undirected,10153,,1
58,49,Undirected,10154,,1
59,56,Undirected,10156,,1
59,58,Undirected,10157,,1
60,20,Undirected,10158,,1
60,34,Undirected,10159,,1
60,55,Undirected,10160,,1
60,56,Undirected,10161,,1
61,5,Undirected,10162,,1
61,7,Undirected,10163,,1
61,12,Undirected,10164,,1
61,47,Undirected,10165,,1
62,15,Undirected,10167,,1
62,22,Undirected,10168,,1
62,23,Undirected,10169,,1
62,46,Undirected,10170,,1
62,51,Undirected,10171,,1
63,21,Undirected,10172,,1
63,48,Undirected,10173,,1
63,55,Undirected,10174,,1
64,24,Undirected,10175,,1
64,57,Undirected,10176,,1
65,11,Undirected,10177,,1
65,50,Undirected,10178,,1
65,61,Undirected,10179,,1
66,32,Undirected,10180,,1
66,54,Undirected,10181,,1
